player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
gnatiaK,6605.943372345364,"['Savage Saints', 'e', 'j', 'Brain Damage', 'Have Mercii Daddy', 'Calamity Crew', 'Teens Love Huge Clocks']",58,False,5865.0
Talamh Soilleir,6596.456937623395,"['Calamity Crew', ""Chicken Joe's Reincarnation Cult"", 'GRIN Scythe', 'GRIN Fury', 'Golf Thirstday?', 'Savage Spirits']",53,True,6400.0
ShoeB,6592.796475821498,"['Slow Twitch Muscle Fibers', 'Rats and Bunnies', '7dark Thirty', 'Rod of a Toast']",57,True,5700.0
pentjack,6583.805620657475,['GRIN Scythe'],20,True,6200.0
ThePurplePanzy,6576.699501579213,"['Dark Horse Storm', 'Rodents and Hares Pest Control', ""'Nanner Grippers"", 'Rats and Bunnies', 'GRIN Fury']",78,True,5200.0
TINWCD,6571.186081081847,['Jackson 5'],29,True,7200.0
bonkey,6567.974653099547,"[""'Nanner Grippers"", ""Daddy's ENGORGED Dictatorship"", 'Savage Spirits']",27,True,6400.0
Ponquist,6562.5798433622,['GRIN Smoke'],21,True,7300.0
GrayBush,6553.645568712951,"['PSGS', 'Nameless', 'Grillin and Chillin', '2FrogsSoftware', ""Daddy's ENGORGED Dictatorship"", 'Calamity Crew', 'GRIN Fury']",76,True,6200.0
Jmeli,6548.1483389937885,['sheeesh'],20,False,6133.333333333333
Legend,6542.908694881883,['GRIN Fury'],61,True,6400.0
LTNessnite,6540.092451741974,"['Rodents and Hares Pest Control', ""'Nanner Grippers"", 'Rats and Bunnies', ""Blitz's Feet"", 'Waist of Golf?', ""Daddy's ENGORGED Dictatorship""]",104,True,7100.0
Carddog,6533.032716157967,['Rats and Bunnies'],35,True,6100.0
Berry,6527.150763882933,['Dark Horse Storm'],47,True,6300.0
Winkx,6523.969732001022,"['Honey Beesports', 'Slugpups', 'SlugWolves']",40,True,7300.0
MC_Flowerpot,6516.75682605572,"['WAP', 'dXo-Warrior', '2FrogsSoftware']",30,True,7100.0
tannerb0y,6514.766665895082,"['Island in the Sun', 'GRIN Fury', 'GRIN Prism', 'Radiance invoker']",52,True,6500.0
TheSuperbSimone,6506.880587032042,"['Rats and Bunnies', 'Plinks of Golf?']",30,True,6300.0
Island,6490.860647451684,"['Rodents and Hares Pest Control', 'GRIN Fury', 'PSGS']",77,True,5400.0
perpetual novice ☼,6475.806301203597,"[""Daddy's ENGORGED Dictatorship"", 'Rats and Bunnies']",65,True,5700.0
♫Harmony♬,6472.522873157779,"['Discovery', 'Slugpups', 'Slugcats', 'Pizzadog.JV', 'T12186', 'Dumpster Fire', 'Idiots', ""Elsa's Boiz <3 <3 <3""]",31,True,7100.0
CheddarBear,6465.307595134767,"['Rodents and Hares Pest Control', ""'Nanner Grippers"", 'dXo-Challenger', 'THE CROWNFALL FISHING CLUB', 'Dually Truck Hentai Warriors', 'dXo-Rejects', 'Calamity Crew']",57,True,6400.0
CHEESE BREAD,6457.171927231018,"['Veni Vidi Vici', 'Savage Sabers']",24,True,7200.0
PosiTr0n,6451.3130705538515,"['Island in the Sun', 'Savage Saints', 'Pizzadog.JV', 'dXo-Rejects', 'Dumpster Fire', 'Idiots']",68,True,5500.0
Ru Elamo,6445.0180396153155,"['e', 'j', 'Teens Love Huge Clocks']",21,True,6200.0
fred0123456789,6444.790888204195,"['Blink Squad', 'PRESTIGE WORLDWIDE', 'Gucci Coffin', 'SMD9813', 'Radiance invoker', 'Team Ligma', 'SlugWolves', 'Savage Sabers']",61,True,6500.0
Sleepy,6441.4949832503635,['Dark Horse Storm'],26,True,7100.0
Ashley Benson Enthusiast,6437.419149690786,"['Dually Truck Hentai Warriors', 'Reverse Smurfs', 'Dually Truck Diesel Drinkers']",25,True,6400.0
dyl,6428.17936472847,"['Island in the Sun', ""'Nanner Grippers"", 'Team Ligma']",40,True,6200.0
Blanket Man,6426.004740011889,['Island in the Sun'],46,True,6500.0
